symbol,security_id,exchange,segment,instrument
HCLTECH FEB FUT,59343,NSE,D,FUTSTK
HCLTECH MAR FUT,51891,NSE,D,FUTSTK
HDFCAMC APR FUT,66845,NSE,D,FUTSTK
HDFCAMC FEB FUT,59344,NSE,D,FUTSTK
HDFCAMC MAR FUT,51892,NSE,D,FUTSTK
HDFCBANK APR FUT,66846,NSE,D,FUTSTK
HDFCBANK FEB FUT,59345,NSE,D,FUTSTK
HDFCBANK MAR FUT,51893,NSE,D,FUTSTK
HDFCLIFE APR FUT,66847,NSE,D,FUTSTK
HDFCLIFE FEB FUT,59346,NSE,D,FUTSTK
HDFCLIFE MAR FUT,51894,NSE,D,FUTSTK
HEROMOTOCO APR FUT,66848,NSE,D,FUTSTK
HEROMOTOCO FEB FUT,59347,NSE,D,FUTSTK
HEROMOTOCO MAR FUT,51899,NSE,D,FUTSTK
HINDALCO APR FUT,66849,NSE,D,FUTSTK
HINDALCO FEB FUT,59348,NSE,D,FUTSTK
HINDALCO MAR FUT,51900,NSE,D,FUTSTK
HINDPETRO APR FUT,66850,NSE,D,FUTSTK
HINDPETRO FEB FUT,59349,NSE,D,FUTSTK
HINDPETRO MAR FUT,51901,NSE,D,FUTSTK
HINDUNILVR APR FUT,66851,NSE,D,FUTSTK
HINDUNILVR FEB FUT,59350,NSE,D,FUTSTK
HINDUNILVR MAR FUT,51902,NSE,D,FUTSTK
HINDZINC APR FUT,66852,NSE,D,FUTSTK
HINDZINC FEB FUT,59351,NSE,D,FUTSTK
HINDZINC MAR FUT,51903,NSE,D,FUTSTK
HUDCO APR FUT,66853,NSE,D,FUTSTK
HUDCO FEB FUT,59352,NSE,D,FUTSTK
HUDCO MAR FUT,51904,NSE,D,FUTSTK
ICICIBANK APR FUT,66854,NSE,D,FUTSTK
ICICIBANK FEB FUT,59353,NSE,D,FUTSTK
ICICIBANK MAR FUT,51909,NSE,D,FUTSTK
ICICIGI APR FUT,66855,NSE,D,FUTSTK
